Bomben,Bombennummer=0,Insats=1 
E,0-0,0-1
E,0-0,0-1
E,0-0,0-1
E,0-0,0-2
E,0-0,0-2
E,0-0,0-3
E,0-0,0-4
E,0-0,1-1
E,0-0,1-1
E,0-0,1-1
E,0-0,1-1
E,0-0,1-1
E,0-0,1-2
E,0-0,1-2
E,0-0,1-2
E,0-0,1-2
E,0-0,1-3
E,0-0,1-3
E,0-0,1-4
E,0-0,2-1
E,0-0,2-1
E,0-0,2-1
E,0-0,2-2
E,0-0,2-2
E,0-0,2-2
E,0-0,2-3
E,0-0,2-4
E,0-0,3-2
E,0-0,4-1
E,0-1,0-2
E,0-1,0-2
E,0-1,0-3
E,0-1,0-4
E,0-1,1-3
E,0-1,2-4
E,0-2,0-4
E,1-0,0-0
E,1-0,0-1
E,1-0,0-1
E,1-0,0-1
E,1-0,0-1
E,1-0,0-2
E,1-0,0-2
E,1-0,0-2
E,1-0,0-2
E,1-0,0-3
E,1-0,0-3
E,1-0,1-1
E,1-0,1-1
E,1-0,1-1
E,1-0,1-1
E,1-0,1-1
E,1-0,1-1
E,1-0,1-2
E,1-0,1-2
E,1-0,1-2
E,1-0,1-2
E,1-0,1-2
E,1-0,1-3
E,1-0,1-3
E,1-0,1-3
E,1-0,1-4
E,1-0,2-1
E,1-0,2-1
E,1-0,2-1
E,1-0,2-2
E,1-0,2-2
E,1-0,2-2
E,1-0,2-2
E,1-0,2-3
E,1-0,2-3
E,1-0,2-4
E,1-0,3-2
E,1-0,3-3
E,1-0,4-0
E,1-0,4-1
E,1-1,0-1
E,1-1,0-1
E,1-1,0-2
E,1-1,0-2
E,1-1,0-2
E,1-1,0-3
E,1-1,0-3
E,1-1,0-3
E,1-1,0-4
E,1-1,1-3
E,1-1,1-3
E,1-1,2-3
E,1-1,2-3
E,1-1,2-4
E,1-1,3-3
E,1-2,0-3
E,1-2,1-4
E,1-2,2-4
E,1-4,0-1
E,1-4,0-2
E,2-0,0-3
E,2-0,0-4
E,2-0,1-3
E,2-0,1-3
E,2-0,1-4
E,2-0,2-3
E,2-1,0-2
E,2-1,0-2
E,2-1,0-3
E,2-1,0-3
E,2-1,1-3
E,2-1,1-3
E,2-1,1-4
E,2-1,2-3
E,2-1,2-4
E,2-2,0-3
E,2-2,0-4
E,2-2,1-3
E,2-2,1-4
E,3-0,0-0
E,3-0,0-0
E,3-0,0-1
E,3-0,0-1
E,3-0,0-1
E,3-0,0-2
E,3-0,0-2
E,3-0,1-0
E,3-0,1-0
E,3-0,1-0
E,3-0,1-1
E,3-0,1-1
E,3-0,1-1
E,3-0,1-2
E,3-0,1-2
E,3-0,1-3
E,3-0,2-0
E,3-0,2-2
E,3-0,2-2
E,3-1,0-0
E,3-1,0-0
E,3-1,0-1
E,3-1,0-1
E,3-1,0-1
E,3-1,0-3
E,3-1,1-0
E,3-1,1-0
E,3-1,1-0
E,3-1,1-1
E,3-1,1-1
E,3-1,1-1
E,3-1,1-2
E,3-1,1-2
E,3-1,2-0
E,3-1,2-2
E,3-1,2-3
E,3-2,0-0
E,3-2,0-0
E,3-2,0-1
E,3-2,0-1
E,3-2,0-2
E,3-2,1-0
E,3-2,1-0
E,3-2,1-1
E,3-2,1-1
E,3-2,1-2
E,3-3,0-1
E,4-0,0-1
E,4-0,0-2
E,4-0,1-0
E,4-0,1-1
E,4-0,1-2
E,4-0,2-0
E,4-0,2-1
E,4-0,2-2
E,4-1,0-1
E,4-1,0-2
E,4-1,1-0
E,4-1,1-1
E,4-1,1-2
E,4-1,2-0
E,4-1,2-1
E,4-1,2-2
E,4-2,0-1
E,4-2,1-0
E,4-2,1-1
E,4-2,1-2
E,4-2,2-1
E,5-0,1-1
