   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 0	 0- 3	     8001.75	 2.179	0.82	 1
 0- 0	 0- 0	 1- 3	     4513.81	 1.449	0.93	 1
 0- 0	 0- 1	 0- 3	     7340.13	 1.425	0.56	 1
 0- 0	 0- 1	 1- 3	     4140.59	 1.805	1.38	 1
 0- 0	 0- 1	 2- 3	     6332.66	 2.065	1.00	 1
 0- 0	 0- 1	 3- 2	     5229.95	 1.250	0.54	 1
 0- 0	 0- 2	 0- 4	    43002.48	Ej Spelad	1.00	 1
 0- 0	 0- 2	 1- 0	     2065.74	 1.490	2.15	 2
 0- 0	 0- 2	 1- 1	     1590.08	 1.430	2.58	 3
 0- 0	 0- 2	 1- 3	     7350.85	 3.558	1.02	 1
 0- 0	 0- 2	 1- 4	    31853.69	Ej Spelad	1.00	 1
 0- 0	 0- 2	 2- 3	    11242.48	 4.653	0.66	 1
 0- 0	 0- 2	 2- 4	    35104.06	Ej Spelad	1.00	 1
 0- 0	 0- 2	 4- 1	    12292.58	 4.255	0.61	 1
 0- 0	 0- 2	 5- 0	    37946.67	Ej Spelad	1.00	 1
 0- 0	 0- 3	 0- 0	     4904.34	 1.524	0.94	 1
 0- 0	 0- 3	 0- 1	     5301.85	 1.644	0.97	 1
 0- 0	 0- 3	 1- 0	     4157.79	 4.194	1.80	 2
 0- 0	 0- 3	 1- 1	     3200.42	 1.634	1.60	 2
 0- 0	 0- 3	 1- 2	     6842.12	 2.548	1.03	 1
 0- 0	 0- 3	 2- 0	     5914.70	 2.211	1.12	 1
 0- 0	 0- 3	 2- 2	     8211.92	 1.593	0.60	 1
 0- 0	 0- 3	 3- 0	    12683.50	 2.062	0.50	 1
 0- 0	 0- 4	 1- 0	    11868.59	Ej Spelad	1.00	 1
 0- 0	 0- 4	 1- 1	     9135.74	Ej Spelad	1.00	 1
 0- 0	 0- 4	 1- 2	    19531.13	Ej Spelad	1.00	 1
 0- 0	 0- 4	 1- 3	    42233.98	Ej Spelad	1.00	 1
 0- 0	 0- 4	 2- 0	    16883.77	Ej Spelad	1.00	 1
 0- 0	 0- 4	 2- 1	    15013.41	Ej Spelad	1.00	 1
 0- 0	 0- 4	 2- 2	    23441.30	Ej Spelad	1.00	 1
 0- 0	 0- 4	 3- 0	    36205.63	Ej Spelad	1.00	 1
 0- 0	 0- 4	 3- 1	    26887.29	Ej Spelad	1.00	 1
 0- 0	 0- 5	 0- 0	    45293.04	Ej Spelad	1.00	 1
 0- 0	 0- 5	 0- 1	    48964.18	Ej Spelad	1.00	 1
 0- 0	 0- 5	 1- 0	    38398.38	Ej Spelad	1.00	 1
 0- 0	 0- 5	 1- 1	    29556.79	Ej Spelad	1.00	 1
 0- 0	 0- 5	 2- 1	    48572.81	Ej Spelad	1.00	 1
 0- 0	 1- 0	 0- 3	     7602.05	Ej Spelad	1.00	 1
 0- 0	 1- 0	 0- 4	    25086.75	Ej Spelad	1.00	 1
 0- 0	 1- 0	 1- 3	     4288.33	 1.525	1.08	 1
 0- 0	 1- 0	 2- 3	     6558.63	 2.659	1.08	 1
 0- 0	 1- 1	 0- 3	     5322.85	 2.457	1.30	 1
 0- 0	 1- 1	 1- 3	     3002.64	 1.244	0.93	 1
 0- 0	 1- 1	 1- 5	    43913.55	Ej Spelad	1.00	 1
 0- 0	 1- 1	 3- 4	    27023.72	Ej Spelad	1.00	 1
 0- 0	 1- 1	 4- 0	     6200.10	 1.406	0.64	 1
 0- 0	 1- 1	 4- 4	    39088.55	Ej Spelad	1.00	 1
