   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 2- 1	 2- 2	 0- 0	     1727.68	 1.386	12.67	13
 2- 1	 3- 3	 0- 0	     1511.72	 1.584	18.47	18
 2- 2	 1- 2	 0- 0	     1334.42	 1.795	24.26	24
 2- 2	 2- 1	 0- 0	     1415.71	 1.692	21.47	21
 2- 2	 2- 2	 0- 0	      459.18	 1.739	68.24	68
 2- 2	 2- 3	 0- 0	     1048.47	 2.284	36.51	37
 2- 2	 3- 2	 0- 0	     1327.23	 1.805	24.51	25
 2- 2	 3- 3	 0- 0	      401.79	 5.961	102.92	103
 2- 2	 3- 4	 0- 0	      667.21	 3.590	63.88	64
 2- 2	 3- 5	 0- 0	      815.48	 2.937	50.96	51
 2- 2	 3- 6	 0- 0	     1334.42	 1.795	24.26	24
 2- 2	 4- 3	 0- 0	      786.51	 3.045	53.19	53
 2- 2	 4- 5	 0- 0	     1334.42	 1.795	24.26	24
 2- 2	 4- 6	 0- 0	      863.45	 2.774	47.51	48
 2- 2	 5- 3	 0- 0	     1011.22	 2.369	38.48	38
 2- 2	 5- 4	 0- 0	     1061.79	 2.256	35.83	36
 2- 2	 6- 4	 0- 0	      884.82	 2.707	46.07	46
 2- 3	 3- 3	 0- 0	     1644.89	 1.456	14.76	15
 2- 4	 3- 3	 0- 0	     1644.89	 1.456	14.76	15
 2- 5	 2- 2	 0- 0	     1477.04	 1.622	19.52	20
 2- 5	 3- 3	 0- 0	     1292.41	 1.853	25.80	26
 3- 2	 2- 2	 0- 0	      987.24	 2.426	39.81	40
 3- 2	 3- 3	 0- 0	      863.84	 2.773	47.49	47
 3- 2	 3- 4	 0- 0	     1434.50	 1.670	20.86	21
 3- 2	 3- 5	 0- 0	     1753.27	 1.366	12.05	12
 3- 3	 1- 2	 0- 0	     1167.61	 2.051	30.86	31
 3- 3	 1- 5	 0- 0	     1605.47	 1.492	15.81	16
 3- 3	 2- 1	 0- 0	     1238.75	 1.934	27.88	28
 3- 3	 2- 2	 0- 0	      401.79	 5.961	102.92	103
 3- 3	 2- 3	 0- 0	      917.41	 2.611	43.96	44
 3- 3	 2- 5	 0- 0	     1605.47	 1.492	15.81	16
 3- 3	 3- 2	 0- 0	     1161.33	 2.062	31.14	31
 3- 3	 3- 3	 0- 0	      351.56	 6.813	114.95	115
 3- 3	 3- 4	 0- 0	      583.81	 4.103	73.21	73
 3- 3	 3- 5	 0- 0	      713.54	 3.357	59.41	59
 3- 3	 3- 6	 0- 0	     1167.61	 2.051	30.86	31
 3- 4	 2- 2	 0- 0	     1148.81	 2.085	31.69	32
