   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 0	 1- 1	 1- 1	     7617.06	 1.422	0.53	 1
 0- 0	 0- 0	 2- 1	 3- 0	    39573.40	 0.274	1.00	 1
 0- 0	 0- 0	 2- 1	 3- 1	    35504.00	 0.305	1.00	 1
 0- 0	 0- 0	 2- 2	 0- 0	    28421.79	Ej Spelad	1.00	 1
 0- 0	 0- 0	 2- 2	 0- 1	    33657.63	Ej Spelad	1.00	 1
 0- 0	 0- 0	 2- 2	 1- 0	    24149.03	Ej Spelad	1.00	 1
 0- 0	 0- 0	 2- 2	 1- 1	    18570.51	Ej Spelad	1.00	 1
 0- 0	 0- 0	 2- 2	 1- 2	    37058.08	Ej Spelad	1.00	 1
 0- 0	 0- 0	 2- 2	 2- 0	    32829.23	Ej Spelad	1.00	 1
 0- 0	 0- 0	 2- 2	 2- 1	    28447.05	Ej Spelad	1.00	 1
 0- 0	 0- 0	 2- 2	 2- 2	    45275.20	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 0	 0- 0	    44610.08	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 0	 1- 0	    37903.68	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 0	 1- 1	    29147.77	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 0	 2- 1	    44649.73	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 1	 0- 0	    35284.42	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 1	 0- 1	    41784.48	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 1	 1- 0	    29979.98	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 1	 1- 1	    23054.48	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 1	 1- 2	    46006.01	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 1	 2- 0	    40756.07	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 1	 2- 1	    35315.79	Ej Spelad	1.00	 1
 0- 0	 0- 0	 3- 2	 1- 1	    39198.73	Ej Spelad	1.00	 1
 0- 0	 0- 1	 1- 1	 1- 1	     6995.69	 1.548	0.68	 1
 0- 0	 0- 1	 2- 1	 3- 0	    36345.18	 0.298	1.00	 1
 0- 0	 0- 1	 2- 1	 3- 1	    32607.75	 0.332	1.00	 1
 0- 0	 0- 1	 2- 2	 0- 0	    26103.27	Ej Spelad	1.00	 1
 0- 0	 0- 1	 2- 2	 0- 1	    30911.99	Ej Spelad	1.00	 1
