   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 0	 0- 3	     8530.96	 2.135	0.76	 1
 0- 0	 0- 0	 1- 0	     1336.57	 1.363	2.76	 3
 0- 0	 0- 0	 1- 1	     1025.11	 1.693	5.20	 5
 0- 0	 0- 0	 1- 2	     2034.51	 1.378	1.86	 2
 0- 0	 0- 0	 1- 3	     4611.86	 1.975	1.34	 1
 0- 0	 0- 0	 2- 0	     1844.91	 1.975	3.34	 3
 0- 0	 0- 0	 2- 1	     1578.43	 2.099	4.06	 4
 0- 0	 0- 0	 2- 2	     2499.22	 1.215	1.01	 1
 0- 0	 0- 0	 2- 3	     7389.27	 4.931	1.00	 1
 0- 0	 0- 0	 3- 0	     3922.72	 1.858	1.49	 1
 0- 0	 0- 0	 3- 1	     3102.68	 1.678	1.70	 2
 0- 0	 0- 0	 3- 2	     5275.38	 6.907	1.34	 1
 0- 0	 0- 0	 4- 2	    12748.83	 2.858	0.57	 1
 0- 0	 0- 1	 0- 0	     1440.92	 1.580	3.39	 3
 0- 0	 0- 1	 0- 1	     1679.45	 1.205	1.45	 1
 0- 0	 0- 1	 0- 3	     7835.04	 2.325	0.86	 1
 0- 0	 0- 1	 1- 0	     1227.54	 1.484	3.59	 4
 0- 0	 0- 1	 1- 1	      941.48	 1.488	4.71	 5
 0- 0	 0- 1	 1- 3	     4235.65	 1.720	1.28	 1
 0- 0	 0- 1	 2- 0	     1694.41	 3.072	4.34	 4
 0- 0	 0- 1	 2- 1	     1449.67	 1.676	3.64	 4
 0- 0	 0- 1	 2- 2	     2295.35	 1.984	2.69	 3
 0- 0	 0- 1	 2- 3	     6786.49	 2.684	1.05	 1
 0- 0	 0- 1	 3- 0	     3602.72	 2.528	1.94	 2
 0- 0	 0- 1	 3- 1	     2849.58	 1.827	2.03	 2
 0- 0	 0- 1	 3- 2	     4845.04	 7.520	1.43	 1
 0- 0	 0- 1	 3- 3	    13225.58	 2.755	0.54	 1
 0- 0	 0- 1	 4- 2	    11708.84	 3.112	0.63	 1
 0- 0	 0- 2	 0- 0	     2464.15	 1.232	1.09	 1
 0- 0	 0- 2	 0- 1	     2872.07	 1.410	1.39	 1
