   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 1	 0- 1	 0- 0	     9516.71	 1.840	3.48	 3
 0- 1	 0- 2	 0- 0	     7686.58	 2.733	5.32	 5
 0- 1	 0- 3	 0- 0	     5764.93	 4.555	7.39	 7
 0- 1	 0- 4	 0- 0	    10518.47	 1.997	3.36	 3
 0- 1	 0- 5	 0- 0	    19985.10	 1.752	1.58	 2
 0- 1	 1- 0	 0- 0	     8763.35	 1.998	4.04	 4
 0- 1	 1- 2	 0- 0	     2688.58	 6.511	15.16	15
 0- 1	 1- 3	 0- 0	     3028.05	 6.938	13.30	13
 0- 1	 1- 4	 0- 0	     3868.08	 3.394	10.97	11
 0- 1	 1- 5	 0- 0	     8565.04	 2.453	4.61	 5
 0- 1	 1- 6	 0- 0	    18168.27	 2.891	2.28	 2
 0- 1	 1- 7	 0- 0	    54504.82	 1.927	0.63	 1
 0- 1	 2- 0	 0- 0	     8062.28	 2.171	4.63	 5
 0- 1	 2- 1	 0- 0	     2573.07	 6.804	15.71	16
 0- 1	 2- 2	 0- 0	     1333.79	13.125	25.62	26
 0- 1	 2- 3	 0- 0	     2204.24	 9.530	16.99	17
 0- 1	 2- 4	 0- 0	     3012.83	 4.980	14.04	14
 0- 1	 2- 5	 0- 0	     4507.92	 4.660	9.43	 9
 0- 1	 2- 6	 0- 0	    11102.83	 9.460	3.38	 3
 0- 1	 2- 7	 0- 0	    27252.41	 3.854	1.57	 2
 0- 1	 2- 8	 0- 0	    42825.21	 2.453	0.92	 1
 0- 1	 3- 0	 0- 0	     6871.26	 3.057	6.09	 6
 0- 1	 3- 1	 0- 0	     3038.55	 5.761	13.68	14
 0- 1	 3- 2	 0- 0	     2334.64	11.248	15.33	15
 0- 1	 3- 3	 0- 0	     1000.34	35.000	24.01	24
 0- 1	 3- 4	 0- 0	     4441.13	 5.913	9.32	 9
 0- 1	 3- 5	 0- 0	     5038.26	10.424	7.26	 7
 0- 1	 3- 6	 0- 0	    11312.32	 4.643	3.76	 4
 0- 1	 3- 7	 0- 0	    37472.06	 2.803	1.10	 1
 0- 1	 4- 0	 0- 0	    14748.07	 2.374	2.64	 3
 0- 1	 4- 1	 0- 0	     3851.41	 9.091	9.84	10
 0- 1	 4- 2	 0- 0	     3053.89	11.465	11.65	12
 0- 1	 4- 3	 0- 0	     4956.32	 7.064	8.10	 8
 0- 1	 4- 4	 0- 0	     2000.68	17.500	15.55	16
 0- 1	 4- 5	 0- 0	    13626.21	 3.854	3.14	 3
 0- 1	 4- 6	 0- 0	    19340.42	 5.431	2.17	 2
 0- 1	 4- 7	 0- 0	    29977.65	 3.504	1.42	 1
 0- 1	 5- 0	 0- 0	    19505.52	 2.692	2.09	 2
 0- 1	 5- 1	 0- 0	    10248.66	 5.124	4.11	 4
 0- 1	 5- 2	 0- 0	     5081.27	20.671	5.77	 6
 0- 1	 5- 3	 0- 0	     5398.85	19.455	5.55	 6
 0- 1	 5- 4	 0- 0	    13742.52	 3.822	3.11	 3
 0- 1	 5- 6	 0- 0	    33308.50	 3.153	1.26	 1
 0- 1	 6- 1	 0- 0	    25194.63	 4.169	1.70	 2
 0- 1	 6- 2	 0- 0	    11197.61	 9.380	3.36	 3
 0- 1	 6- 3	 0- 0	    10248.66	10.249	3.58	 4
 0- 1	 6- 4	 0- 0	    23256.58	 4.516	1.83	 2
 0- 1	 6- 5	 0- 0	    35568.88	 2.953	1.17	 1
 0- 1	 7- 2	 0- 0	    24186.84	 4.343	1.76	 2
 0- 1	 7- 4	 0- 0	    37791.94	 2.779	1.09	 1
 0- 2	 0- 1	 0- 0	     8407.97	 2.082	4.33	 4
 0- 2	 0- 2	 0- 0	     6791.05	 2.578	5.92	 6
 0- 2	 0- 3	 0- 0	     5093.29	 3.437	8.34	 8
 0- 2	 0- 4	 0- 0	     9293.02	 2.261	4.10	 4
 0- 2	 0- 5	 0- 0	    17656.74	 2.974	2.36	 2
 0- 2	 1- 0	 0- 0	     7742.38	 2.261	4.92	 5
 0- 2	 1- 2	 0- 0	     2375.35	 5.527	17.60	18
 0- 2	 1- 3	 0- 0	     2675.26	 5.609	15.59	16
 0- 2	 1- 4	 0- 0	     3417.43	 3.415	12.42	12
 0- 2	 1- 5	 0- 0	     7567.17	 2.313	5.09	 5
 0- 2	 1- 6	 0- 0	    16051.58	 3.272	2.63	 3
 0- 2	 1- 7	 0- 0	    48154.75	 2.181	0.78	 1
 0- 2	 2- 0	 0- 0	     7122.99	 2.458	5.55	 6
 0- 2	 2- 1	 0- 0	     2273.29	 5.776	18.28	18
 0- 2	 2- 2	 0- 0	     1178.39	 8.103	33.07	33
 0- 2	 2- 3	 0- 0	     1947.43	 7.705	20.24	20
 0- 2	 2- 4	 0- 0	     2661.82	 4.933	15.90	16
 0- 2	 2- 5	 0- 0	     3982.72	 4.396	10.71	11
 0- 2	 2- 6	 0- 0	     9809.30	10.708	3.70	 4
 0- 2	 2- 7	 0- 0	    24077.37	 4.362	1.77	 2
 0- 2	 2- 8	 0- 0	    37835.87	 2.776	1.08	 1
 0- 2	 3- 0	 0- 0	     6070.73	 1.922	5.66	 6
 0- 2	 3- 1	 0- 0	     2684.54	 3.557	15.87	16
 0- 2	 3- 2	 0- 0	     2062.64	 6.365	19.84	20
 0- 2	 3- 3	 0- 0	      883.80	14.856	37.17	37
 0- 2	 3- 4	 0- 0	     3923.72	 5.354	10.69	11
 0- 2	 3- 5	 0- 0	     4451.28	 7.866	8.81	 9
 0- 2	 3- 6	 0- 0	     9994.38	 3.503	4.26	 4
 0- 2	 3- 7	 0- 0	    33106.39	 3.173	1.27	 1
 0- 2	 4- 0	 0- 0	    13029.85	 1.612	2.20	 2
 0- 2	 4- 1	 0- 0	     3402.70	 5.145	12.39	12
 0- 2	 4- 2	 0- 0	     2698.10	 4.866	15.71	16
 0- 2	 4- 3	 0- 0	     4378.88	 3.998	9.76	10
 0- 2	 4- 4	 0- 0	     1767.59	14.856	18.59	19
 0- 2	 4- 5	 0- 0	    12038.69	 4.362	3.54	 4
 0- 2	 4- 6	 0- 0	    17087.17	 6.147	2.41	 2
 0- 2	 4- 7	 0- 0	    26485.11	 3.966	1.61	 2
 0- 2	 5- 0	 0- 0	    17233.03	 2.032	2.08	 2
 0- 2	 5- 1	 0- 0	     9054.64	 2.900	4.58	 5
 0- 2	 5- 2	 0- 0	     4489.28	11.699	7.88	 8
 0- 2	 5- 3	 0- 0	     4769.86	 7.340	8.35	 8
 0- 2	 5- 4	 0- 0	    12141.45	 4.326	3.52	 4
 0- 2	 5- 6	 0- 0	    29427.90	 3.569	1.45	 1
 0- 2	 6- 0	 0- 0	    59358.21	 1.770	0.54	 1
 0- 2	 6- 1	 0- 0	    22259.33	 4.719	1.91	 2
 0- 2	 6- 2	 0- 0	     9893.04	10.617	3.68	 4
 0- 2	 6- 3	 0- 0	     9054.64	11.600	3.92	 4
 0- 2	 6- 4	 0- 0	    20547.07	 5.112	2.05	 2
 0- 2	 6- 5	 0- 0	    31424.94	 3.342	1.35	 1
 0- 2	 7- 2	 0- 0	    21368.96	 4.915	1.98	 2
 0- 2	 7- 3	 0- 0	    59358.21	 1.770	0.54	 1
 0- 2	 7- 4	 0- 0	    33389.00	 3.146	1.26	 1
 0- 2	 8- 2	 0- 0	    59358.21	 1.770	0.54	 1
 0- 3	 0- 1	 0- 0	     7872.92	 1.906	4.34	 4
 0- 3	 0- 2	 0- 0	     6358.90	 3.304	6.66	 7
 0- 3	 0- 3	 0- 0	     4769.17	 3.146	8.82	 9
 0- 3	 0- 4	 0- 0	     8701.65	 3.018	4.80	 5
 0- 3	 0- 5	 0- 0	    16533.13	 2.118	2.22	 2
 0- 3	 1- 0	 0- 0	     7249.68	 2.070	5.00	 5
 0- 3	 1- 2	 0- 0	     2224.19	 4.722	19.10	19
 0- 3	 1- 3	 0- 0	     2505.02	 5.241	16.79	17
 0- 3	 1- 4	 0- 0	     3199.96	 3.647	13.33	13
 0- 3	 1- 5	 0- 0	     7085.63	 2.471	5.59	 6
 0- 3	 1- 6	 0- 0	    15030.12	 3.494	2.83	 3
 0- 3	 1- 7	 0- 0	    45090.35	 2.329	0.86	 1
 0- 3	 2- 0	 0- 0	     6669.70	 1.575	4.15	 4
 0- 3	 2- 1	 0- 0	     2128.63	 4.112	20.08	20
 0- 3	 2- 2	 0- 0	     1103.41	 9.519	33.95	34
 0- 3	 2- 3	 0- 0	     1823.51	 6.400	22.42	22
 0- 3	 2- 4	 0- 0	     2492.43	 4.682	17.05	17
 0- 3	 2- 5	 0- 0	     3729.28	 4.694	11.40	11
 0- 3	 2- 6	 0- 0	     9185.07	11.436	3.88	 4
 0- 3	 2- 7	 0- 0	    22545.18	 4.659	1.89	 2
 0- 3	 2- 8	 0- 0	    35428.13	 2.965	1.18	 1
 0- 3	 3- 0	 0- 0	     5684.41	 1.848	5.85	 6
 0- 3	 3- 1	 0- 0	     2513.71	 4.179	17.00	17
 0- 3	 3- 2	 0- 0	     1931.38	 5.438	21.69	22
 0- 3	 3- 3	 0- 0	      827.55	18.132	37.13	37
 0- 3	 3- 4	 0- 0	     3674.03	 4.084	11.63	12
 0- 3	 3- 5	 0- 0	     4168.02	 8.400	9.27	 9
 0- 3	 3- 6	 0- 0	     9358.38	 5.612	4.46	 4
 0- 3	 3- 7	 0- 0	    30999.62	 3.388	1.37	 1
 0- 3	 4- 1	 0- 0	     3186.16	 3.663	13.39	13
 0- 3	 4- 2	 0- 0	     2526.40	 4.158	16.92	17
 0- 3	 4- 3	 0- 0	     4100.23	 3.660	10.40	10
 0- 3	 4- 4	 0- 0	     1655.11	21.154	17.58	18
 0- 3	 4- 5	 0- 0	    11272.59	 9.318	3.34	 3
 0- 3	 4- 6	 0- 0	    15999.80	 6.565	2.54	 3
 0- 3	 4- 7	 0- 0	    24799.69	 4.235	1.72	 2
 0- 3	 5- 0	 0- 0	    16136.38	 1.627	1.80	 2
 0- 3	 5- 1	 0- 0	     8478.44	 6.194	4.85	 5
 0- 3	 5- 2	 0- 0	     4203.60	 4.997	10.06	10
 0- 3	 5- 3	 0- 0	     4466.32	 7.839	8.79	 9
 0- 3	 5- 4	 0- 0	    11368.82	 9.239	3.32	 3
 0- 3	 5- 6	 0- 0	    27555.21	 3.812	1.55	 2
 0- 3	 6- 0	 0- 0	    55580.88	 1.890	0.61	 1
 0- 3	 6- 1	 0- 0	    20842.83	 5.039	2.03	 2
 0- 3	 6- 2	 0- 0	     9263.48	11.339	3.85	 4
 0- 3	 6- 3	 0- 0	     8478.44	12.389	4.10	 4
 0- 3	 6- 4	 0- 0	    19239.53	 5.459	2.18	 2
 0- 3	 6- 5	 0- 0	    29425.17	 3.570	1.45	 1
 0- 3	 7- 2	 0- 0	    20009.12	 5.249	2.10	 2
 0- 3	 7- 3	 0- 0	    55580.88	 1.890	0.61	 1
 0- 3	 7- 4	 0- 0	    31264.24	 3.360	1.36	 1
 0- 3	 8- 2	 0- 0	    55580.88	 1.890	0.61	 1
 0- 4	 0- 2	 0- 0	    11102.83	 1.577	2.50	 2
 0- 4	 0- 3	 0- 0	     8327.13	 2.523	4.79	 5
 0- 4	 0- 4	 0- 0	    15193.35	 1.383	1.43	 1
 0- 4	 1- 2	 0- 0	     3883.50	 3.005	10.75	11
 0- 4	 1- 3	 0- 0	     4373.84	 4.002	9.77	10
 0- 4	 1- 4	 0- 0	     5587.23	 2.350	6.94	 7
 0- 4	 1- 5	 0- 0	    12371.73	 1.698	2.47	 2
 0- 4	 1- 6	 0- 0	    26243.06	 2.001	1.35	 1
 0- 4	 2- 1	 0- 0	     3716.65	 2.826	11.09	11
 0- 4	 2- 2	 0- 0	     1926.58	 4.956	21.96	22
 0- 4	 2- 3	 0- 0	     3183.90	 4.124	13.42	13
 0- 4	 2- 4	 0- 0	     4351.86	 2.682	9.34	 9
 0- 4	 2- 5	 0- 0	     6511.44	 2.689	6.25	 6
 0- 4	 2- 6	 0- 0	    16037.43	 6.550	2.54	 3
 0- 4	 2- 7	 0- 0	    39364.59	 2.668	1.03	 1
 0- 4	 3- 1	 0- 0	     4389.01	 2.991	9.50	10
 0- 4	 3- 2	 0- 0	     3372.25	 3.893	12.67	13
 0- 4	 3- 3	 0- 0	     1444.94	10.385	25.33	25
 0- 4	 3- 4	 0- 0	     6414.97	 2.729	6.37	 6
 0- 4	 3- 5	 0- 0	     7277.49	 7.217	5.49	 5
 0- 4	 3- 6	 0- 0	    16340.02	 6.428	2.50	 2
 0- 4	 3- 7	 0- 0	    54126.32	 1.941	0.64	 1
 0- 4	 4- 1	 0- 0	     5563.15	 3.147	7.56	 8
 0- 4	 4- 2	 0- 0	     4411.18	 2.646	9.18	 9
