   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 2	 3- 3	 5- 6	   231609.83	Ej Spelad	1.00	 1
 0- 3	 3- 3	 5- 6	   216871.02	Ej Spelad	1.00	 1
 1- 2	 1- 2	 5- 6	   227363.03	Ej Spelad	1.00	 1
 1- 2	 2- 1	 5- 6	   217594.78	Ej Spelad	1.00	 1
 1- 2	 2- 2	 5- 6	   112793.43	Ej Spelad	1.00	 1
 1- 2	 2- 2	 6- 5	   194515.08	Ej Spelad	1.00	 1
 1- 2	 2- 2	 7- 5	   224440.48	Ej Spelad	1.00	 1
 1- 2	 2- 3	 5- 6	   186404.27	Ej Spelad	1.00	 1
 1- 2	 3- 2	 5- 6	   197431.55	Ej Spelad	1.00	 1
 1- 2	 3- 3	 5- 6	    84595.08	Ej Spelad	1.00	 1
 1- 2	 3- 3	 6- 5	   145886.31	Ej Spelad	1.00	 1
 1- 2	 3- 3	 7- 5	   168330.38	Ej Spelad	1.00	 1
 1- 2	 4- 4	 5- 6	   169190.16	Ej Spelad	1.00	 1
 1- 2	 5- 6	 2- 2	   154061.66	Ej Spelad	1.00	 1
 1- 2	 5- 6	 3- 2	   232792.34	Ej Spelad	1.00	 1
 1- 2	 5- 6	 3- 3	   115546.25	Ej Spelad	1.00	 1
 1- 2	 5- 6	 4- 4	   231092.50	Ej Spelad	1.00	 1
 1- 3	 1- 2	 5- 6	   248513.09	Ej Spelad	1.00	 1
 1- 3	 2- 1	 5- 6	   237836.14	Ej Spelad	1.00	 1
 1- 3	 2- 2	 5- 6	   123285.84	Ej Spelad	1.00	 1
 1- 3	 2- 2	 6- 5	   212609.52	Ej Spelad	1.00	 1
 1- 3	 2- 2	 7- 5	   245318.67	Ej Spelad	1.00	 1
 1- 3	 2- 3	 5- 6	   203744.19	Ej Spelad	1.00	 1
 1- 3	 3- 2	 5- 6	   215797.27	Ej Spelad	1.00	 1
 1- 3	 3- 3	 5- 6	    92464.38	Ej Spelad	1.00	 1
 1- 3	 3- 3	 6- 5	   159457.13	Ej Spelad	1.00	 1
 1- 3	 3- 3	 7- 5	   183989.00	Ej Spelad	1.00	 1
 1- 3	 4- 4	 5- 6	   184928.77	Ej Spelad	1.00	 1
 1- 3	 5- 6	 2- 2	   168392.98	Ej Spelad	1.00	 1
 1- 3	 5- 6	 3- 3	   126294.73	Ej Spelad	1.00	 1
 1- 3	 5- 6	 4- 4	   252589.47	Ej Spelad	1.00	 1
 1- 4	 2- 2	 5- 6	   154406.55	Ej Spelad	1.00	 1
 1- 4	 3- 3	 5- 6	   115804.91	Ej Spelad	1.00	 1
 1- 4	 3- 3	 6- 5	   199708.47	Ej Spelad	1.00	 1
 1- 4	 3- 3	 7- 5	   230432.86	Ej Spelad	1.00	 1
 1- 4	 4- 4	 5- 6	   231609.83	Ej Spelad	1.00	 1
 1- 4	 5- 6	 2- 2	   210899.95	Ej Spelad	1.00	 1
 1- 4	 5- 6	 3- 3	   158174.97	Ej Spelad	1.00	 1
 2- 1	 1- 2	 5- 6	   215681.78	Ej Spelad	1.00	 1
 2- 1	 1- 3	 5- 6	   242914.34	Ej Spelad	1.00	 1
 2- 1	 2- 1	 5- 6	   206415.39	Ej Spelad	1.00	 1
 2- 1	 2- 2	 5- 6	   106998.43	Ej Spelad	1.00	 1
 2- 1	 2- 2	 6- 5	   184521.45	Ej Spelad	1.00	 1
 2- 1	 2- 2	 7- 5	   212909.39	Ej Spelad	1.00	 1
 2- 1	 2- 3	 5- 6	   176827.34	Ej Spelad	1.00	 1
 2- 1	 2- 4	 5- 6	   241693.67	Ej Spelad	1.00	 1
 2- 1	 3- 1	 5- 6	   243756.86	Ej Spelad	1.00	 1
 2- 1	 3- 2	 5- 6	   187288.09	Ej Spelad	1.00	 1
 2- 1	 3- 3	 5- 6	    80248.83	Ej Spelad	1.00	 1
 2- 1	 3- 3	 6- 5	   138391.11	Ej Spelad	1.00	 1
 2- 1	 3- 3	 7- 5	   159682.05	Ej Spelad	1.00	 1
 2- 1	 4- 2	 5- 6	   244987.94	Ej Spelad	1.00	 1
 2- 1	 4- 4	 5- 6	   160497.66	Ej Spelad	1.00	 1
 2- 1	 5- 6	 2- 2	   146146.42	Ej Spelad	1.00	 1
 2- 1	 5- 6	 3- 2	   220832.14	Ej Spelad	1.00	 1
 2- 1	 5- 6	 3- 3	   109609.81	Ej Spelad	1.00	 1
 2- 1	 5- 6	 4- 4	   219219.63	Ej Spelad	1.00	 1
 2- 1	 5- 7	 3- 3	   246622.06	Ej Spelad	1.00	 1
 2- 2	 0- 3	 5- 6	   232705.61	Ej Spelad	1.00	 1
 2- 2	 1- 2	 5- 6	   108526.38	Ej Spelad	1.00	 1
 2- 2	 1- 2	 6- 5	   187156.45	Ej Spelad	1.00	 1
 2- 2	 1- 2	 7- 5	   215949.77	Ej Spelad	1.00	 1
 2- 2	 1- 3	 5- 6	   122229.22	Ej Spelad	1.00	 1
 2- 2	 1- 3	 6- 5	   210787.34	Ej Spelad	1.00	 1
 2- 2	 1- 3	 7- 5	   243216.17	Ej Spelad	1.00	 1
 2- 2	 1- 4	 5- 6	   156137.95	Ej Spelad	1.00	 1
 2- 2	 2- 1	 5- 6	   103863.73	Ej Spelad	1.00	 1
 2- 2	 2- 1	 6- 5	   179115.59	Ej Spelad	1.00	 1
 2- 2	 2- 1	 7- 5	   206671.84	Ej Spelad	1.00	 1
 2- 2	 2- 2	 3- 3	     2208.53	 1.455	10.97	11
 2- 2	 2- 2	 5- 6	    53839.29	Ej Spelad	1.00	 1
 2- 2	 2- 2	 5- 7	   172285.70	Ej Spelad	1.00	 1
 2- 2	 2- 2	 6- 5	    92847.19	Ej Spelad	1.00	 1
 2- 2	 2- 2	 7- 5	   107131.38	Ej Spelad	1.00	 1
 2- 2	 2- 3	 5- 6	    88975.67	Ej Spelad	1.00	 1
 2- 2	 2- 3	 6- 5	   153440.77	Ej Spelad	1.00	 1
 2- 2	 2- 3	 7- 5	   177047.05	Ej Spelad	1.00	 1
 2- 2	 2- 4	 5- 6	   121614.99	Ej Spelad	1.00	 1
 2- 2	 2- 4	 6- 5	   209728.09	Ej Spelad	1.00	 1
 2- 2	 2- 4	 7- 5	   241993.97	Ej Spelad	1.00	 1
 2- 2	 2- 5	 5- 6	   181965.28	Ej Spelad	1.00	 1
 2- 2	 3- 1	 5- 6	   122653.15	Ej Spelad	1.00	 1
 2- 2	 3- 1	 6- 5	   211518.42	Ej Spelad	1.00	 1
 2- 2	 3- 1	 7- 5	   244059.73	Ej Spelad	1.00	 1
 2- 2	 3- 2	 5- 6	    94239.29	Ej Spelad	1.00	 1
 2- 2	 3- 2	 6- 5	   162518.02	Ej Spelad	1.00	 1
 2- 2	 3- 2	 7- 5	   187520.80	Ej Spelad	1.00	 1
 2- 2	 3- 3	 2- 2	     2208.53	 1.455	10.97	11
 2- 2	 3- 3	 3- 3	     1656.40	 1.940	20.90	21
 2- 2	 3- 3	 5- 6	    40379.46	Ej Spelad	1.00	 1
 2- 2	 3- 3	 5- 7	   129214.27	Ej Spelad	1.00	 1
 2- 2	 3- 3	 6- 5	    69635.39	Ej Spelad	1.00	 1
 2- 2	 3- 3	 6- 7	   215357.13	Ej Spelad	1.00	 1
 2- 2	 3- 3	 7- 5	    80348.53	Ej Spelad	1.00	 1
 2- 2	 3- 4	 5- 6	   179269.52	Ej Spelad	1.00	 1
 2- 2	 3- 5	 5- 6	   203372.97	Ej Spelad	1.00	 1
 2- 2	 4- 1	 5- 6	   155464.81	Ej Spelad	1.00	 1
 2- 2	 4- 2	 5- 6	   123272.60	Ej Spelad	1.00	 1
 2- 2	 4- 2	 6- 5	   212586.67	Ej Spelad	1.00	 1
 2- 2	 4- 2	 7- 5	   245292.33	Ej Spelad	1.00	 1
 2- 2	 4- 3	 5- 6	   200065.38	Ej Spelad	1.00	 1
 2- 2	 4- 4	 5- 6	    80758.92	Ej Spelad	1.00	 1
 2- 2	 4- 4	 6- 5	   139270.78	Ej Spelad	1.00	 1
 2- 2	 4- 4	 7- 5	   160697.06	Ej Spelad	1.00	 1
 2- 2	 5- 2	 5- 6	   205109.05	Ej Spelad	1.00	 1
 2- 2	 5- 3	 5- 6	   217928.36	Ej Spelad	1.00	 1
 2- 2	 5- 6	 1- 2	   212993.48	Ej Spelad	1.00	 1
 2- 2	 5- 6	 1- 3	   208857.69	Ej Spelad	1.00	 1
 2- 2	 5- 6	 1- 4	   226445.70	Ej Spelad	1.00	 1
 2- 2	 5- 6	 2- 1	   140809.36	Ej Spelad	1.00	 1
 2- 2	 5- 6	 2- 2	    73537.70	Ej Spelad	1.00	 1
 2- 2	 5- 6	 2- 3	   193804.89	Ej Spelad	1.00	 1
 2- 2	 5- 6	 2- 4	   224086.89	Ej Spelad	1.00	 1
 2- 2	 5- 6	 3- 1	   135330.39	Ej Spelad	1.00	 1
 2- 2	 5- 6	 3- 2	   111117.93	Ej Spelad	1.00	 1
 2- 2	 5- 6	 3- 3	    55153.27	Ej Spelad	1.00	 1
 2- 2	 5- 6	 4- 1	   150562.39	Ej Spelad	1.00	 1
 2- 2	 5- 6	 4- 2	   132243.00	Ej Spelad	1.00	 1
