   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 0	 0- 1	      279.18	 9.783	233.72	234
 0- 0	 0- 0	 0- 2	      740.03	 6.228	97.35	97
 0- 0	 0- 0	 0- 3	     2077.68	 5.915	34.96	35
 0- 0	 0- 0	 0- 4	    10890.92	 6.771	6.52	 7
 0- 0	 0- 0	 0- 5	    44764.14	 1.647	1.15	 1
 0- 0	 0- 0	 1- 0	      346.12	11.213	181.54	182
 0- 0	 0- 0	 1- 2	      811.25	 6.060	89.20	89
 0- 0	 0- 0	 1- 3	     2659.25	 5.546	27.56	28
 0- 0	 0- 0	 1- 4	     9986.58	 7.384	6.99	 7
 0- 0	 0- 0	 2- 0	      819.82	 6.425	87.41	87
 0- 0	 0- 0	 2- 1	      769.51	 6.389	93.22	93
 0- 0	 0- 0	 2- 2	     1161.23	 5.292	63.49	63
 0- 0	 0- 0	 2- 3	     7245.69	 2.544	9.68	10
 0- 0	 0- 0	 2- 4	    26071.13	 2.828	2.77	 3
 0- 0	 0- 0	 3- 0	     1384.12	13.319	43.12	43
 0- 0	 0- 0	 3- 1	     2608.34	 7.068	26.99	27
 0- 0	 0- 0	 3- 2	     6350.95	 3.870	11.81	12
 0- 0	 0- 0	 3- 3	     7847.84	 4.698	9.50	 9
 0- 0	 0- 0	 4- 0	     7283.27	10.125	8.88	 9
 0- 0	 0- 0	 4- 1	     8332.42	 8.850	8.03	 8
 0- 0	 0- 0	 4- 2	    22358.98	 3.298	3.32	 3
 0- 0	 0- 1	 0- 0	      279.16	12.007	220.63	221
 0- 0	 0- 1	 0- 1	      369.98	 6.429	193.67	194
 0- 0	 0- 1	 0- 2	      693.11	 4.256	108.11	108
 0- 0	 0- 1	 0- 3	     2722.18	 3.386	27.34	27
 0- 0	 0- 1	 0- 4	     8948.34	 8.241	7.61	 8
 0- 0	 0- 1	 1- 1	      405.34	 5.351	181.64	182
 0- 0	 0- 1	 1- 2	      886.03	 3.201	83.47	83
 0- 0	 0- 1	 1- 3	     2497.21	 3.691	29.98	30
 0- 0	 0- 1	 2- 0	      768.81	 5.995	94.28	94
 0- 0	 0- 1	 2- 1	      580.55	 4.885	128.02	128
 0- 0	 0- 1	 2- 3	     6516.63	 2.263	10.26	10
 0- 0	 0- 1	 2- 4	    25198.84	 2.926	2.89	 3
 0- 0	 0- 1	 3- 0	     2610.56	 4.708	28.55	29
 0- 0	 0- 1	 3- 1	     3175.49	 3.870	23.61	24
 0- 0	 0- 1	 3- 2	     2611.04	 4.707	28.55	29
 0- 0	 0- 1	 4- 0	     8324.86	 8.858	8.04	 8
 0- 0	 0- 1	 4- 1	    11164.47	 6.605	6.39	 6
 0- 0	 0- 1	 4- 2	    30209.57	 2.441	2.29	 2
 0- 0	 0- 1	 4- 3	    35285.64	 2.090	1.81	 2
 0- 0	 0- 2	 0- 0	      739.87	 7.119	95.01	95
 0- 0	 0- 2	 0- 1	      692.61	 4.259	108.18	108
 0- 0	 0- 2	 0- 2	     1814.68	 1.625	27.96	28
 0- 0	 0- 2	 0- 3	     4473.86	 2.747	16.05	16
 0- 0	 0- 2	 0- 4	    29398.31	 2.508	2.37	 2
 0- 0	 0- 2	 1- 0	      811.10	 6.993	86.97	87
 0- 0	 0- 2	 1- 1	      886.55	 2.971	82.42	82
 0- 0	 0- 2	 1- 2	     1664.79	 1.772	33.67	34
