   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 0	 0- 0	      132.43	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 0- 0	      121.48	 1.527	5.08	5.10
 0- 0	 0- 2	 0- 0	      215.66	 1.257	1.79	1.70
 0- 0	 0- 3	 0- 0	      434.07	 1.353	1.11	1.10
 0- 0	 0- 4	 0- 0	     1239.06	 2.844	0.78	0.80
 0- 0	 0- 5	 0- 0	     4008.73	 1.758	0.18	0.20
 0- 0	 0- 6	 0- 0	    13629.67	Ej Spelad	0.10	0.10
 0- 0	 1- 1	 0- 0	       88.09	 1.379	5.74	5.70
 0- 0	 1- 2	 0- 0	      154.18	 1.524	3.99	4.00
 0- 0	 1- 3	 0- 0	      356.80	 1.796	2.12	2.10
 0- 0	 1- 4	 0- 0	     1155.06	 6.102	0.83	0.60
 0- 0	 1- 5	 0- 0	     3586.76	 1.965	0.23	0.20
 0- 0	 1- 6	 0- 0	    17037.09	Ej Spelad	0.10	0.10
 0- 0	 2- 0	 0- 0	      214.91	Ej Spelad	0.10	0.10
 0- 0	 2- 1	 0- 0	      146.31	 1.302	2.96	3.00
 0- 0	 2- 2	 0- 0	      192.12	 1.529	3.22	3.20
 0- 0	 2- 3	 0- 0	      476.56	 1.344	1.00	1.00
 0- 0	 2- 4	 0- 0	     1662.16	 2.120	0.52	0.50
 0- 0	 2- 5	 0- 0	     4867.74	 1.448	0.12	0.10
 0- 0	 2- 6	 0- 0	    11358.06	Ej Spelad	0.10	0.10
 0- 0	 3- 2	 0- 0	      468.20	 1.368	1.06	1.10
 0- 0	 3- 4	 0- 0	     3786.02	 1.862	0.21	0.20
 0- 0	 3- 6	 0- 0	    34074.18	Ej Spelad	0.10	0.10
 0- 0	 4- 1	 0- 0	     1110.98	 1.601	0.60	0.40
 0- 0	 5- 0	 0- 0	     6554.76	Ej Spelad	0.10	0.10
 0- 0	 5- 1	 0- 0	     3641.53	Ej Spelad	0.10	0.10
 0- 0	 5- 2	 0- 0	     5958.88	Ej Spelad	0.10	0.10
 0- 0	 5- 3	 0- 0	    13109.52	Ej Spelad	0.10	0.10
 0- 0	 6- 0	 0- 0	    16386.91	Ej Spelad	0.10	0.10
 0- 0	 6- 1	 0- 0	    21849.21	Ej Spelad	0.10	0.10
 0- 0	 6- 2	 0- 0	    10924.60	Ej Spelad	0.10	0.10
 0- 0	 6- 3	 0- 0	    32773.81	Ej Spelad	0.10	0.10
 0- 0	 6- 4	 0- 0	    32773.81	Ej Spelad	0.10	0.10
 0- 1	 0- 1	 0- 0	      119.83	Ej Spelad	0.10	0.10
 0- 1	 0- 2	 0- 0	      212.74	 1.440	2.61	2.10
 0- 1	 0- 3	 0- 0	      428.19	 1.266	0.92	0.50
 0- 1	 0- 4	 0- 0	     1222.29	 5.766	0.80	0.80
 0- 1	 0- 5	 0- 0	     3954.48	Ej Spelad	0.10	0.10
 0- 1	 0- 6	 0- 0	    13445.22	Ej Spelad	0.10	0.10
 0- 1	 1- 3	 0- 0	      351.97	 1.669	1.99	1.60
 0- 1	 1- 4	 0- 0	     1139.43	Ej Spelad	0.10	0.10
 0- 1	 1- 5	 0- 0	     3538.22	Ej Spelad	0.10	0.10
 0- 1	 1- 6	 0- 0	    16806.52	Ej Spelad	0.10	0.10
 0- 1	 2- 4	 0- 0	     1639.66	 4.298	0.61	0.60
 0- 1	 2- 5	 0- 0	     4801.86	Ej Spelad	0.10	0.10
 0- 1	 2- 6	 0- 0	    11204.35	Ej Spelad	0.10	0.10
 0- 1	 3- 4	 0- 0	     3734.78	Ej Spelad	0.10	0.10
 0- 1	 3- 5	 0- 0	    11204.35	Ej Spelad	0.10	0.10
 0- 1	 3- 6	 0- 0	    33613.04	Ej Spelad	0.10	0.10
 0- 1	 4- 4	 0- 0	     7462.47	Ej Spelad	0.10	0.10
 0- 1	 5- 0	 0- 0	     6466.06	Ej Spelad	0.10	0.10
 0- 1	 5- 1	 0- 0	     3592.25	Ej Spelad	0.10	0.10
 0- 1	 5- 2	 0- 0	     5878.23	Ej Spelad	0.10	0.10
 0- 1	 5- 3	 0- 0	    12932.11	Ej Spelad	0.10	0.10
 0- 1	 6- 0	 0- 0	    16165.14	Ej Spelad	0.10	0.10
 0- 1	 6- 1	 0- 0	    21553.52	Ej Spelad	0.10	0.10
 0- 1	 6- 2	 0- 0	    10776.76	Ej Spelad	0.10	0.10
 0- 1	 6- 3	 0- 0	    32330.28	Ej Spelad	0.10	0.10
 0- 1	 6- 4	 0- 0	    32330.28	Ej Spelad	0.10	0.10
 0- 2	 0- 2	 0- 0	      339.34	Ej Spelad	0.10	0.10
 0- 2	 0- 3	 0- 0	      683.01	Ej Spelad	0.10	0.10
 0- 2	 0- 4	 0- 0	     1949.67	 3.615	0.51	0.50
 0- 2	 0- 5	 0- 0	     6307.75	Ej Spelad	0.10	0.10
 0- 2	 0- 6	 0- 0	    21446.36	Ej Spelad	0.10	0.10
 0- 2	 1- 4	 0- 0	     1817.49	Ej Spelad	0.10	0.10
 0- 2	 1- 5	 0- 0	     5643.78	 1.249	0.07	0.10
 0- 2	 1- 6	 0- 0	    26807.95	Ej Spelad	0.10	0.10
 0- 2	 2- 0	 0- 0	      338.16	Ej Spelad	0.10	0.10
 0- 2	 2- 4	 0- 0	     2615.41	 2.695	0.36	0.40
 0- 2	 2- 5	 0- 0	     7659.41	Ej Spelad	0.10	0.10
 0- 2	 2- 6	 0- 0	    17871.97	Ej Spelad	0.10	0.10
 0- 2	 3- 4	 0- 0	     5957.32	Ej Spelad	0.10	0.10
 0- 2	 3- 6	 0- 0	    53615.90	Ej Spelad	0.10	0.10
 0- 2	 5- 0	 0- 0	    10313.95	Ej Spelad	0.10	0.10
 0- 2	 5- 1	 0- 0	     5729.97	Ej Spelad	0.10	0.10
 0- 2	 5- 2	 0- 0	     9376.32	Ej Spelad	0.10	0.10
 0- 2	 5- 3	 0- 0	    20627.91	Ej Spelad	0.10	0.10
 0- 2	 6- 0	 0- 0	    25784.88	Ej Spelad	0.10	0.10
 0- 2	 6- 2	 0- 0	    17189.92	Ej Spelad	0.10	0.10
 0- 2	 6- 3	 0- 0	    51569.77	Ej Spelad	0.10	0.10
 0- 2	 6- 4	 0- 0	    51569.77	Ej Spelad	0.10	0.10
 0- 3	 0- 0	 0- 0	      510.75	Ej Spelad	0.10	0.10
 0- 3	 0- 4	 0- 0	     4778.89	 1.475	0.12	0.10
 0- 3	 0- 5	 0- 0	    15461.11	Ej Spelad	0.10	0.10
 0- 3	 0- 6	 0- 0	    52567.77	Ej Spelad	0.10	0.10
 0- 3	 1- 4	 0- 0	     4454.90	Ej Spelad	0.10	0.10
 0- 3	 1- 6	 0- 0	    65709.71	Ej Spelad	0.10	0.10
 0- 3	 2- 5	 0- 0	    18774.20	Ej Spelad	0.10	0.10
 0- 3	 2- 6	 0- 0	    43806.47	Ej Spelad	0.10	0.10
 0- 3	 3- 4	 0- 0	    14602.16	Ej Spelad	0.10	0.10
 0- 3	 4- 4	 0- 0	    29176.57	Ej Spelad	0.10	0.10
 0- 3	 5- 0	 0- 0	    25280.82	Ej Spelad	0.10	0.10
 0- 3	 5- 1	 0- 0	    14044.90	Ej Spelad	0.10	0.10
 0- 3	 5- 2	 0- 0	    22982.56	Ej Spelad	0.10	0.10
 0- 3	 5- 3	 0- 0	    50561.63	Ej Spelad	0.10	0.10
 0- 3	 6- 0	 0- 0	    63202.04	Ej Spelad	0.10	0.10
 0- 3	 6- 2	 0- 0	    42134.70	Ej Spelad	0.10	0.10
 0- 4	 0- 4	 0- 0	    12711.84	Ej Spelad	0.10	0.10
 0- 4	 0- 5	 0- 0	    41126.55	Ej Spelad	0.10	0.10
 0- 4	 1- 4	 0- 0	    11850.02	Ej Spelad	0.10	0.10
 0- 4	 1- 5	 0- 0	    36797.44	Ej Spelad	0.10	0.10
 0- 4	 2- 5	 0- 0	    49939.38	Ej Spelad	0.10	0.10
 0- 4	 3- 4	 0- 0	    38841.74	Ej Spelad	0.10	0.10
 0- 4	 4- 1	 0- 0	    11397.79	Ej Spelad	0.10	0.10
 0- 4	 5- 1	 0- 0	    37359.43	Ej Spelad	0.10	0.10
 0- 4	 5- 2	 0- 0	    61133.61	Ej Spelad	0.10	0.10
 0- 5	 0- 0	 0- 0	     8491.21	Ej Spelad	0.10	0.10
 0- 5	 0- 1	 0- 0	     7789.12	Ej Spelad	0.10	0.10
 0- 5	 0- 2	 0- 0	    13828.15	Ej Spelad	0.10	0.10
 0- 5	 0- 3	 0- 0	    27832.46	Ej Spelad	0.10	0.10
