   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 0	 0- 0	     1568.90	 1.399	0.08	0.10
 0- 0	 0- 0	 0- 1	     1828.62	 4.802	0.14	0.10
 0- 0	 0- 0	 0- 2	     3048.64	 2.880	0.08	0.10
 0- 0	 0- 0	 0- 3	     8530.96	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 1- 0	     1336.57	 6.570	0.18	0.20
 0- 0	 0- 0	 1- 1	     1025.11	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 1- 2	     2034.51	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 1- 3	     4611.86	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 2- 0	     1844.91	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 2- 1	     1578.43	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 2- 2	     2499.22	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 2- 3	     7389.27	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 3- 0	     3922.72	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 3- 1	     3102.68	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 3- 2	     5275.38	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 3- 3	    14400.29	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 4- 0	     9994.05	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 4- 1	     8499.22	Ej Spelad	0.10	0.10
 0- 0	 0- 0	 4- 2	    12748.83	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 0- 0	     1440.92	 6.094	0.17	0.20
 0- 0	 0- 1	 0- 1	     1679.45	 5.228	0.15	0.10
 0- 0	 0- 1	 0- 2	     2799.95	 3.136	0.09	0.10
 0- 0	 0- 1	 0- 3	     7835.04	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 1- 0	     1227.54	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 1- 1	      941.48	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 1- 2	     1868.54	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 1- 3	     4235.65	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 2- 0	     1694.41	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 2- 1	     1449.67	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 2- 2	     2295.35	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 2- 3	     6786.49	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 3- 0	     3602.72	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 3- 1	     2849.58	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 3- 2	     4845.04	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 3- 3	    13225.58	Ej Spelad	0.10	0.10
