   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 0	 0- 0	 0- 0	     2879.64	 2.455	0.08	0.10
 0- 0	 0- 0	 0- 1	     3356.34	 2.107	0.06	0.10
 0- 0	 0- 0	 1- 0	     2453.21	 4.323	0.10	0.10
 0- 0	 0- 0	 1- 1	     1881.53	 2.818	0.13	0.10
 0- 0	 0- 0	 1- 2	     3734.23	 1.893	0.05	0.10
 0- 0	 0- 0	 2- 0	     3386.25	 6.264	0.07	0.10
 0- 0	 0- 0	 2- 1	     2897.12	 3.661	0.09	0.10
 0- 0	 0- 0	 3- 0	     7199.95	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 0- 0	     2644.73	 2.005	0.08	0.10
 0- 0	 0- 1	 0- 1	     3082.55	 3.441	0.08	0.10
 0- 0	 0- 1	 1- 0	     2253.09	 4.707	0.11	0.10
 0- 0	 0- 1	 1- 1	     1728.04	 4.092	0.14	0.10
 0- 0	 0- 1	 1- 2	     3429.61	 6.185	0.07	0.10
 0- 0	 0- 1	 2- 0	     3110.01	 6.821	0.08	0.10
 0- 0	 0- 1	 2- 1	     2660.79	 7.972	0.09	0.10
 0- 0	 0- 1	 2- 2	     4213.00	 5.035	0.06	0.10
 0- 0	 0- 1	 2- 3	    12456.25	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 3- 0	     6612.61	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 3- 1	     5230.25	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 3- 2	     8892.82	Ej Spelad	0.10	0.10
 0- 0	 0- 1	 4- 1	    14327.32	Ej Spelad	0.10	0.10
 0- 0	 0- 2	 0- 0	     4522.82	 4.690	0.05	0.10
 0- 0	 0- 2	 1- 0	     3853.05	Ej Spelad	0.10	0.10
 0- 0	 0- 2	 1- 1	     2955.17	 7.178	0.08	0.10
 0- 0	 0- 2	 1- 3	    13295.04	Ej Spelad	0.10	0.10
 0- 0	 0- 2	 2- 1	     4550.27	Ej Spelad	0.10	0.10
 0- 0	 0- 2	 3- 0	    11308.37	Ej Spelad	0.10	0.10
