   Komb             Odds    Kvot Spelat belopp Beräknat spelbelopp
 0- 1	 0- 3	 0- 0	     5764.93	Ej Spelad	0.10	0.10
 0- 1	 0- 4	 0- 0	    10518.47	Ej Spelad	0.10	0.10
 0- 1	 1- 2	 0- 0	     2688.58	 3.381	0.09	0.10
 0- 1	 1- 3	 0- 0	     3028.05	Ej Spelad	0.10	0.10
 0- 1	 1- 4	 0- 0	     3868.08	Ej Spelad	0.10	0.10
 0- 1	 1- 5	 0- 0	     8565.04	Ej Spelad	0.10	0.10
 0- 1	 2- 1	 0- 0	     2573.07	 5.300	0.10	0.10
 0- 1	 2- 2	 0- 0	     1333.79	10.224	0.16	0.20
 0- 1	 2- 3	 0- 0	     2204.24	12.373	0.09	0.10
 0- 1	 2- 4	 0- 0	     3012.83	Ej Spelad	0.10	0.10
 0- 1	 2- 5	 0- 0	     4507.92	Ej Spelad	0.10	0.10
 0- 1	 2- 6	 0- 0	    11102.83	Ej Spelad	0.10	0.10
 0- 1	 3- 1	 0- 0	     3038.55	 4.488	0.08	0.10
 0- 1	 3- 2	 0- 0	     2334.64	 5.841	0.10	0.10
 0- 1	 3- 3	 0- 0	     1000.34	13.632	0.20	0.20
 0- 1	 3- 4	 0- 0	     4441.13	Ej Spelad	0.10	0.10
 0- 1	 3- 5	 0- 0	     5038.26	Ej Spelad	0.10	0.10
 0- 1	 3- 6	 0- 0	    11312.32	Ej Spelad	0.10	0.10
 0- 1	 4- 1	 0- 0	     3851.41	 2.360	0.06	0.10
 0- 1	 4- 2	 0- 0	     3053.89	 4.465	0.08	0.10
 0- 1	 4- 4	 0- 0	     2000.68	Ej Spelad	0.10	0.10
 0- 1	 4- 5	 0- 0	    13626.21	Ej Spelad	0.10	0.10
 0- 1	 5- 4	 0- 0	    13742.52	Ej Spelad	0.10	0.10
 0- 2	 0- 3	 0- 0	     5093.29	Ej Spelad	0.10	0.10
 0- 2	 0- 4	 0- 0	     9293.02	Ej Spelad	0.10	0.10
 0- 2	 1- 2	 0- 0	     2375.35	 5.741	0.10	0.10
 0- 2	 1- 3	 0- 0	     2675.26	 5.097	0.09	0.10
 0- 2	 1- 4	 0- 0	     3417.43	Ej Spelad	0.10	0.10
 0- 2	 1- 5	 0- 0	     7567.17	Ej Spelad	0.10	0.10
 0- 2	 2- 1	 0- 0	     2273.29	 5.999	0.11	0.10
 0- 2	 2- 2	 0- 0	     1178.39	11.572	0.18	0.20
 0- 2	 2- 3	 0- 0	     1947.43	14.004	0.10	0.10
 0- 2	 2- 4	 0- 0	     2661.82	Ej Spelad	0.10	0.10
 0- 2	 2- 5	 0- 0	     3982.72	Ej Spelad	0.10	0.10
 0- 2	 2- 6	 0- 0	     9809.30	Ej Spelad	0.10	0.10
 0- 2	 3- 1	 0- 0	     2684.54	 5.080	0.09	0.10
 0- 2	 3- 2	 0- 0	     2062.64	 6.611	0.12	0.10
 0- 2	 3- 3	 0- 0	      883.80	30.859	0.17	0.20
 0- 2	 3- 4	 0- 0	     3923.72	Ej Spelad	0.10	0.10
 0- 2	 3- 5	 0- 0	     4451.28	Ej Spelad	0.10	0.10
 0- 2	 3- 6	 0- 0	     9994.38	Ej Spelad	0.10	0.10
 0- 2	 4- 1	 0- 0	     3402.70	 4.008	0.07	0.10
 0- 2	 4- 2	 0- 0	     2698.10	 5.054	0.09	0.10
 0- 2	 4- 3	 0- 0	     4378.88	 6.228	0.05	0.10
 0- 2	 4- 4	 0- 0	     1767.59	Ej Spelad	0.10	0.10
 0- 2	 4- 5	 0- 0	    12038.69	Ej Spelad	0.10	0.10
 0- 2	 5- 2	 0- 0	     4489.28	 3.038	0.05	0.10
 0- 2	 5- 3	 0- 0	     4769.86	 5.718	0.05	0.10
 0- 2	 5- 4	 0- 0	    12141.45	Ej Spelad	0.10	0.10
 0- 3	 0- 2	 0- 0	     6358.90	Ej Spelad	0.10	0.10
 0- 3	 0- 3	 0- 0	     4769.17	 2.859	0.05	0.10
 0- 3	 1- 0	 0- 0	     7249.68	Ej Spelad	0.10	0.10
 0- 3	 1- 2	 0- 0	     2224.19	Ej Spelad	0.10	0.10
 0- 3	 1- 3	 0- 0	     2505.02	10.887	0.08	0.10
 0- 3	 1- 4	 0- 0	     3199.96	 8.523	0.07	0.10
 0- 3	 2- 0	 0- 0	     6669.70	Ej Spelad	0.10	0.10
 0- 3	 2- 1	 0- 0	     2128.63	 6.406	0.11	0.10
 0- 3	 2- 2	 0- 0	     1103.41	Ej Spelad	0.10	0.10
 0- 3	 2- 3	 0- 0	     1823.51	Ej Spelad	0.10	0.10
 0- 3	 2- 4	 0- 0	     2492.43	Ej Spelad	0.10	0.10
 0- 3	 2- 5	 0- 0	     3729.28	Ej Spelad	0.10	0.10
 0- 3	 2- 6	 0- 0	     9185.07	Ej Spelad	0.10	0.10
 0- 3	 3- 1	 0- 0	     2513.71	 5.425	0.10	0.10
 0- 3	 3- 2	 0- 0	     1931.38	14.121	0.10	0.10
