B0000 O:  1x 1	5        - 2        	0        - 1        	1        - 1
B0001 O:  1x 1	2        - 1        	4        - 2        	3        - 1
B0002 O:  1x 1	2        - 0        	1        - 2        	2        - 4
B0003 O:  1x 1	3        - 3        	3        - 1        	2        - 0
B0004 O:  1x 1	4        - 0        	0        - 3        	1        - 0
B0005 O:  1x 1	2        - 0        	1        - 3        	4        - 0
B0006 O:  1x 1	3        - 3        	0        - 2        	3        - 1
B0007 O:  1x 1	3        - 1        	1        - 2        	3        - 3
B0008 O:  1x 1	0        - 1        	1        - 0        	5        - 1
B0009 O:  1x 1	4        - 1        	1        - 3        	0        - 0
B0010 O:  1x 1	2        - 1        	2        - 3        	4        - 0
B0011 O:  1x 1	0        - 0        	1        - 3        	3        - 3
B0012 O:  1x 1	4        - 3        	1        - 2        	1        - 0
B0013 O:  1x 1	1        - 2        	3        - 0        	4        - 0
B0014 O:  1x 1	0        - 1        	5        - 1        	1        - 0
B0015 O:  1x 1	3        - 2        	0        - 0        	4        - 0
B0016 O:  1x 1	0        - 0        	1        - 0        	5        - 1
B0017 O:  1x 1	2        - 0        	1        - 0        	5        - 0
B0018 O:  1x 1	0        - 0        	0        - 2        	2        - 4
B0019 O:  1x 1	3        - 1        	4        - 1        	1        - 2
B0020 O:  1x 1	2        - 0        	1        - 4        	0        - 2
B0021 O:  1x 1	3        - 1        	0        - 2        	4        - 0
B0022 O:  1x 1	0        - 0        	5        - 1        	1        - 0
B0023 O:  1x 1	1        - 3        	0        - 0        	4        - 2
B0024 O:  1x 1	4        - 2        	0        - 1        	3        - 0
B0025 O:  1x 1	5        - 1        	0        - 0        	2        - 1
B0026 O:  1x 1	1        - 0        	0        - 3        	4        - 2
B0027 O:  1x 1	3        - 0        	0        - 3        	3        - 0
B0028 O:  1x 1	2        - 0        	4        - 1        	3        - 1
B0029 O:  1x 1	0        - 1        	4        - 2        	3        - 1
B0030 O:  1x 1	1        - 0        	1        - 5        	2        - 1
B0031 O:  1x 1	1        - 4        	1        - 3        	0        - 0
B0032 O:  1x 1	0        - 2        	3        - 1        	0        - 3
B0033 O:  1x 1	0        - 0        	4        - 2        	3        - 1
B0034 O:  1x 1	0        - 1        	2        - 3        	4        - 0
B0035 O:  1x 1	0        - 4        	1        - 3        	1        - 0
B0036 O:  1x 1	4        - 3        	0        - 1        	2        - 1
B0037 O:  1x 1	0        - 2        	2        - 4        	2        - 0
B0038 O:  1x 1	0        - 2        	3        - 1        	4        - 1
B0039 O:  1x 1	5        - 1        	0        - 0        	0        - 0
B0040 O:  1x 1	4        - 3        	2        - 2        	1        - 1
B0041 O:  1x 1	1        - 1        	1        - 1        	5        - 2
B0042 O:  1x 1	1        - 1        	1        - 3        	2        - 4
B0043 O:  1x 1	1        - 0        	1        - 5        	0        - 0
B0044 O:  1x 1	0        - 0        	2        - 3        	4        - 0
B0045 O:  1x 1	2        - 1        	4        - 2        	0        - 2
B0046 O:  1x 1	3        - 0        	2        - 0        	2        - 3
B0047 O:  1x 1	2        - 1        	0        - 1        	5        - 1
B0048 O:  1x 1	1        - 3        	4        - 0        	1        - 0
B0049 O:  1x 1	2        - 0        	1        - 1        	5        - 1
B0050 O:  1x 1	3        - 3        	0        - 2        	0        - 2
B0051 O:  1x 1	1        - 0        	3        - 1        	3        - 3
